District Code,District Name,BLDG. NO.,Building Name,January State FTE F&RL Count,January Membership,2023 F&RL Percentage,Community Eligiblity Provision (CEP) Participating Building,,,,,,,
042-124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL, 181.00 , 369.21 ,49.00%,,,,,,,,
043-001,HICKORY CO. R-I,1050,SKYLINE HIGH, 83.00 , 208.00 ,39.90%,,,,,,,,
043-001,HICKORY CO. R-I,3000,SKYLINE MIDDLE, 86.00 , 210.00 ,41.00%,,,,,,,,
043-001,HICKORY CO. R-I,4020,SKYLINE ELEM., 130.00 , 265.00 ,49.10%,,,,,,,,
043-002,WHEATLAND R-II,1050,WHEATLAND HIGH, 89.00 , 140.00 ,63.60%,,,,,,,,
043-002,WHEATLAND R-II,4020,WHEATLAND ELEM., 88.00 , 139.00 ,63.30%,,,,,,,,
043-003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH, 84.90 , 160.86 ,52.80%,,,,,,,,
043-003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM., 123.00 , 190.00 ,64.70%,,,,,,,,
043-004,HERMITAGE R-IV,1050,HERMITAGE HIGH, 38.00 , 80.00 ,47.50%,Yes,,,,,,,
043-004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE, 22.00 , 54.00 ,40.70%,Yes,,,,,,,
043-004,HERMITAGE R-IV,4020,HERMITAGE ELEM., 72.00 , 125.00 ,57.60%,Yes,,,,,,,
044-078,CRAIG R-III,1050,CRAIG HIGH, 23.00 , 23.00 ,100.00%,,,,,,,,
044-078,CRAIG R-III,4020,CRAIG ELEM., 34.00 , 34.00 ,100.00%,,,,,,,,
044-083,MOUND CITY R-II,1050,MOUND CITY HIGH, 22.00 , 85.00 ,25.90%,,,,,,,,
044-083,MOUND CITY R-II,3000,MOUND CITY MIDDLE, 24.00 , 79.00 ,30.40%,,,,,,,,
044-083,MOUND CITY R-II,4020,MOUND CITY ELEM., 30.00 , 98.00 ,30.60%,,,,,,,,
044-084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH, 32.00 , 140.00 ,22.90%,,,,,,,,
044-084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM., 38.00 , 129.00 ,29.50%,,,,,,,,
045-076,NEW FRANKLIN R-I,1050,New Franklin Middle-High, 63.00 , 215.47 ,29.20%,,,,,,,,
045-076,NEW FRANKLIN R-I,4020,New Franklin Elementary, 57.00 , 176.00 ,32.40%,,,,,,,,
045-077,FAYETTE R-III,1050,FAYETTE HIGH, 74.50 , 191.06 ,39.00%,,,,,,,,
045-077,FAYETTE R-III,3000,WM. N. CLARK MIDDLE, 65.10 , 146.06 ,44.50%,,,,,,,,
045-077,FAYETTE R-III,4040,LAURENCE J. DALY ELEM., 143.00 , 290.00 ,49.30%,,,,,,,,
045-078,GLASGOW,1050,GLASGOW HIGH, 54.20 , 164.58 ,33.00%,,,,,,,,
045-078,GLASGOW,4020,GLASGOW ELEMENTARY., 46.00 , 94.26 ,48.80%,,,,,,,,
046-128,HOWELL VALLEY R-I,4020,HOWELL VALLEY ELEM., 106.90 , 207.71 ,51.50%,,,,,,,,
046-130,MOUNTAIN VIEW-BIRCH TREE R-III,1050,LIBERTY SR. HIGH, 198.00 , 332.00 ,59.60%,,,,,,,,
046-130,MOUNTAIN VIEW-BIRCH TREE R-III,3000,LIBERTY MIDDLE, 210.00 , 309.00 ,68.00%,,,,,,,,
046-130,MOUNTAIN VIEW-BIRCH TREE R-III,4010,BIRCH TREE ELEM., 119.00 , 161.00 ,73.90%,Yes,,,,,,,
046-130,MOUNTAIN VIEW-BIRCH TREE R-III,4020,MOUNTAIN VIEW ELEM., 257.70 , 406.69 ,63.40%,Yes,,,,,,,
046-131,WILLOW SPRINGS R-IV,1050,WILLOW SPRINGS HIGH, 152.20 , 350.21 ,43.40%,,,,,,,,
046-131,WILLOW SPRINGS R-IV,3000,WILLOW SPRINGS MIDDLE, 205.90 , 359.72 ,57.20%,,,,,,,,
046-131,WILLOW SPRINGS R-IV,4040,WILLOW SPRINGS ELEM., 327.00 , 469.00 ,69.70%,,,,,,,,
046-132,RICHARDS R-V,4020,RICHARDS ELEM., 228.50 , 351.00 ,65.10%,,,,,,,,
046-134,WEST PLAINS R-VII,1050,WEST PLAINS SR. HIGH, 325.40 , 656.29 ,49.60%,,,,,,,,
046-134,WEST PLAINS R-VII,3000,WEST PLAINS MIDDLE, 351.40 , 603.39 ,58.20%,,,,,,,,
046-134,WEST PLAINS R-VII,4030,WEST PLAINS ELEM., 460.00 , 663.00 ,69.40%,,,,,,,,
046-134,WEST PLAINS R-VII,5000,SOUTH FORK ELEM., 84.00 , 150.00 ,56.00%,,,,,,,,
046-135,GLENWOOD R-VIII,4020,GLENWOOD ELEM., 111.00 , 223.00 ,49.80%,,,,,,,,
046-137,JUNCTION HILL C-12,4020,JUNCTION HILL ELEM., 99.00 , 184.00 ,53.80%,,,,,,,,
046-140,FAIRVIEW R-XI,4020,FAIRVIEW ELEM., 233.00 , 488.00 ,47.70%,,,,,,,,
047-060,SOUTH IRON CO. R-I,1050,SOUTH IRON HIGH, 100.00 , 164.00 ,61.00%,,,,,,,,
047-060,SOUTH IRON CO. R-I,4020,SOUTH IRON ELEM., 105.00 , 130.00 ,80.80%,,,,,,,,
047-062,ARCADIA VALLEY R-II,1050,ARCADIA VALLEY HIGH, 148.00 , 298.00 ,49.70%,,,,,,,,
047-062,ARCADIA VALLEY R-II,3000,ARCADIA VALLEY MIDDLE, 275.00 , 275.00 ,100.00%,Yes,,,,,,,
047-062,ARCADIA VALLEY R-II,4020,ARCADIA VALLEY ELEM., 345.00 , 345.00 ,100.00%,Yes,,,,,,,
047-064,BELLEVIEW R-III,4020,BELLEVIEW ELEM., 60.00 , 90.00 ,66.70%,,,,,,,,
047-065,IRON CO. C-4,1050,Viburnum High, 107.00 , 190.00 ,56.30%,,,,,,,,
047-065,IRON CO. C-4,4050,Viburnum Elementary, 103.00 , 147.00 ,70.10%,,,,,,,,
048-066,FORT OSAGE R-I,1050,FORT OSAGE HIGH, 643.70 ," 1,484.40 ",43.40%,,,,,,,,
048-066,FORT OSAGE R-I,3000,OSAGE TRAIL MIDDLE, 395.00 , 780.00 ,50.60%,,,,,,,,
048-066,FORT OSAGE R-I,4020,BLUE HILLS ELEM., 157.00 , 344.00 ,45.60%,,,,,,,,
048-066,FORT OSAGE R-I,4040,BUCKNER ELEM., 166.00 , 342.00 ,48.50%,,,,,,,,
048-066,FORT OSAGE R-I,4060,CLER-MONT ELEM., 180.00 , 321.00 ,56.10%,,,,,,,,
048-066,FORT OSAGE R-I,4080,ELM GROVE ELEM., 241.00 , 324.00 ,74.40%,,,,,,,,
048-066,FORT OSAGE R-I,4110,FIRE PRAIRIE MIDDLE, 360.00 , 697.00 ,51.60%,,,,,,,,
048-066,FORT OSAGE R-I,4130,INDIAN TRAILS ELEM., 187.00 , 356.00 ,52.50%,,,,,,,,
048-068,BLUE SPRINGS R-IV,1050,BLUE SPRINGS HIGH, 594.70 ," 2,328.14 ",25.50%,,,,,,,,
048-068,BLUE SPRINGS R-IV,1075,BLUE SPRINGS SOUTH HIGH, 455.20 ," 2,208.87 ",20.60%,,,,,,,,
048-068,BLUE SPRINGS R-IV,3000,BRITTANY HILL MIDDLE, 224.00 , 842.65 ,26.60%,,,,,,,,
048-068,BLUE SPRINGS R-IV,3060,MORELAND RIDGE MIDDLE, 317.00 ," 1,083.57 ",29.30%,,,,,,,,
048-068,BLUE SPRINGS R-IV,3080,DELTA WOODS MIDDLE, 168.80 , 797.76 ,21.20%,,,,,,,,
048-068,BLUE SPRINGS R-IV,3090,PAUL KINDER MIDDLE SCHOOL, 263.00 , 732.92 ,35.90%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4020,THOMAS J. ULTICAN ELEM., 182.00 , 439.00 ,41.50%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4040,FRANKLIN SMITH ELEM., 161.00 , 409.02 ,39.40%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4050,JAMES LEWIS ELEM., 100.00 , 457.00 ,21.90%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4060,WILLIAM YATES ELEM., 177.00 , 417.00 ,42.40%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4070,LUCY FRANKLIN ELEM., 125.00 , 573.00 ,21.80%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4080,CORDILL-MASON ELEM., 184.00 , 750.20 ,24.50%,,,,,,,,
048-068,BLUE SPRINGS R-IV,4090,JAMES WALKER ELEM., 204.00 , 449.00 ,45.40%,,,,,,,,
048-068,BLUE SPRINGS R-IV,5000,JOHN NOWLIN ELEM., 159.00 , 440.38 ,36.10%,,,,,,,,
048-068,BLUE SPRINGS R-IV,5020,DANIEL YOUNG ELEM., 116.00 , 340.00 ,34.10%,,,,,,,,
048-068,BLUE SPRINGS R-IV,5030,WILLIAM BRYANT ELEM., 135.00 , 446.00 ,30.30%,,,,,,,,
048-068,BLUE SPRINGS R-IV,5040,CHAPEL LAKES ELEM., 82.00 , 615.04 ,13.30%,,,,,,,,
048-068,BLUE SPRINGS R-IV,5070,SUNNY POINTE ELEM., 168.50 , 509.05 ,33.10%,,,,,,,,
048-068,BLUE SPRINGS R-IV,5080,"VOY SPEARS, JR. ELEM.", 60.00 , 567.98 ,10.60%,,,,,,,,
048-069,GRAIN VALLEY R-V,1050,GRAIN VALLEY HIGH, 240.80 ," 1,321.26 ",18.20%,,,,,,,,
048-069,GRAIN VALLEY R-V,3000,GRAIN VALLEY SOUTH MIDDLE SCHL, 144.30 , 562.59 ,25.60%,,,,,,,,
048-069,GRAIN VALLEY R-V,3010,GRAIN VALLEY NORTH MIDDLE SCHL, 97.60 , 517.28 ,18.90%,,,,,,,,
048-069,GRAIN VALLEY R-V,4040,MATTHEWS ELEM., 132.00 , 383.32 ,34.40%,,,,,,,,
048-069,GRAIN VALLEY R-V,4060,SNI-A-BAR ELEM., 155.00 , 448.00 ,34.60%,,,,,,,,
048-069,GRAIN VALLEY R-V,4080,PRAIRIE BRANCH ELEM., 73.00 , 580.00 ,12.60%,,,,,,,,
048-069,GRAIN VALLEY R-V,5000,STONY POINT ELEM., 136.00 , 474.77 ,28.60%,,,,,,,,
048-070,OAK GROVE R-VI,1050,OAK GROVE HIGH, 138.70 , 552.29 ,25.10%,,,,,,,,
048-070,OAK GROVE R-VI,3000,OAK GROVE MIDDLE, 126.00 , 458.13 ,27.50%,,,,,,,,
048-070,OAK GROVE R-VI,4020,OAK GROVE ELEM., 164.00 , 448.00 ,36.60%,,,,,,,,
048-070,OAK GROVE R-VI,4040,OAK GROVE PRIMARY, 155.00 , 436.03 ,35.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,1015,HILLTOP SCHOOL, 3.90 , 14.71 ,26.40%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,1050,LEE'S SUMMIT SR. HIGH, 382.10 ," 1,875.48 ",20.40%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,1070,LEE'S SUMMIT NORTH HIGH, 453.00 ," 1,995.50 ",22.70%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,1085,LEE'S SUMMIT WEST HIGH, 169.60 ," 1,986.44 ",8.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,3000,BERNARD C. CAMPBELL MIDDLE, 267.00 ," 1,061.27 ",25.20%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,3020,East Trails Middle School, 194.00 , 993.00 ,19.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,3050,SUMMIT LAKES MIDDLE, 104.00 ," 1,017.00 ",10.20%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,3080,PLEASANT LEA MIDDLE, 211.00 , 939.35 ,22.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4020,GREENWOOD ELEM., 57.00 , 335.00 ,17.00%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4030,CEDAR CREEK ELEM., 57.00 , 496.00 ,11.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4040,HAZEL GROVE ELEM., 69.00 , 345.00 ,20.00%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4060,LEE'S SUMMIT ELEM., 125.00 , 213.00 ,58.70%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4070,LONGVIEW FARM ELEM., 29.00 , 410.00 ,7.10%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4080,MASON ELEM., 47.00 , 485.00 ,9.70%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,4090,MEADOW LANE ELEM., 261.00 , 468.00 ,55.80%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5010,PLEASANT LEA ELEM., 110.00 , 362.00 ,30.40%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5020,WESTVIEW ELEM., 133.00 , 294.00 ,45.20%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5025,RICHARDSON ELEM., 70.00 , 446.00 ,15.70%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5030,PRAIRIE VIEW ELEM., 206.00 , 586.01 ,35.20%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5035,TRAILRIDGE ELEM., 81.00 , 452.00 ,17.90%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5040,UNDERWOOD ELEM., 171.00 , 526.00 ,32.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5045,SUNSET VALLEY ELEM., 56.00 , 302.00 ,18.50%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5060,HIGHLAND PARK ELEM., 32.00 , 467.00 ,6.90%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,5080,HAWTHORN HILL ELEM., 24.00 , 404.19 ,5.90%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,6000,WOODLAND ELEM., 64.00 , 420.00 ,15.20%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,6010,SUMMIT POINTE ELEM., 56.00 , 540.00 ,10.40%,,,,,,,,
048-071,LEE'S SUMMIT R-VII,8000,R-7 Online Academy, -   , 11.00 ,0.00%,,,,,,,,
048-072,HICKMAN MILLS C-1,1050,RUSKIN HIGH SCHOOL," 1,214.90 "," 1,214.89 ",100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,3030,HICKMAN MILLS 6TH GRADE CENTER, 338.00 , 338.00 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,3050,SMITH-HALE MIDDLE, 763.60 , 763.56 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4010,COMPASS ELEMENTARY, 336.50 , 336.46 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4015,DOBBS ELEMENTARY, 338.00 , 338.00 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4030,TRUMAN ELEMENTARY, 327.50 , 327.46 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4035,WARFORD ELEMENTARY, 396.00 , 396.03 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4045,MILLENNIUM AT SANTE FE, 285.00 , 285.00 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4050,INGELS ELEMENTARY, 284.30 , 284.26 ,100.00%,Yes,,,,,,,
048-072,HICKMAN MILLS C-1,4055,ERVIN ELEMENTARY SCHOOL, 452.00 , 452.97 ,99.80%,Yes,,,,,,,
048-073,RAYTOWN C-2,1050,RAYTOWN SR. HIGH, 742.70 ," 1,333.69 ",55.70%,,,,,,,,
048-073,RAYTOWN C-2,1075,RAYTOWN SOUTH SR. HIGH, 675.10 ," 1,153.27 ",58.50%,,,,,,,,
048-073,RAYTOWN C-2,3000,RAYTOWN MIDDLE, 489.00 , 740.00 ,66.10%,,,,,,,,
048-073,RAYTOWN C-2,3010,SOUTH MIDDLE, 339.00 , 519.00 ,65.30%,,,,,,,,
048-073,RAYTOWN C-2,3020,RAYTOWN CENTRAL MIDDLE, 300.00 , 568.00 ,52.80%,,,,,,,,
048-073,RAYTOWN C-2,4020,BLUE RIDGE ELEM., 219.00 , 335.00 ,65.40%,,,,,,,,
048-073,RAYTOWN C-2,4060,EASTWOOD HILLS ELEM., 268.60 , 321.57 ,83.50%,,,,,,,,
048-073,RAYTOWN C-2,4070,FLEETRIDGE ELEM., 191.00 , 321.00 ,59.50%,,,,,,,,
048-073,RAYTOWN C-2,4080,LAUREL HILLS ELEM., 216.00 , 317.00 ,68.10%,,,,,,,,
048-073,RAYTOWN C-2,4090,LITTLE BLUE ELEMENTARY, 221.00 , 361.00 ,61.20%,,,,,,,,
048-073,RAYTOWN C-2,5000,NORFLEET ELEM., 187.00 , 305.00 ,61.30%,,,,,,,,
048-073,RAYTOWN C-2,5040,ROBINSON ELEM., 181.00 , 352.00 ,51.40%,,,,,,,,
048-073,RAYTOWN C-2,5060,SOUTHWOOD ELEM., 200.40 , 357.47 ,56.10%,,,,,,,,
048-073,RAYTOWN C-2,5080,SPRING VALLEY ELEM., 248.00 , 372.00 ,66.70%,,,,,,,,
048-073,RAYTOWN C-2,6000,WESTRIDGE ELEM., 216.40 , 313.40 ,69.00%,,,,,,,,
048-074,GRANDVIEW C-4,1050,GRANDVIEW SR. HIGH, 670.00 ," 1,106.27 ",60.60%,,,,,,,,
048-074,GRANDVIEW C-4,2100,GRANDVIEW MIDDLE, 341.70 , 496.42 ,68.80%,,,,,,,,
048-074,GRANDVIEW C-4,4020,BELVIDERE ELEM., 201.70 , 294.65 ,68.40%,,,,,,,,
048-074,GRANDVIEW C-4,4040,BUTCHER-GREENE ELEM., 232.10 , 296.07 ,78.40%,,,,,,,,
048-074,GRANDVIEW C-4,4080,CONN-WEST ELEM., 243.30 , 312.28 ,77.90%,,,,,,,,
048-074,GRANDVIEW C-4,5020,MARTIN CITY ELEM., 470.40 , 657.79 ,71.50%,,,,,,,,
048-074,GRANDVIEW C-4,5040,MEADOWMERE ELEM., 232.90 , 339.94 ,68.50%,,,,,,,,
048-075,LONE JACK C-6,1050,LONE JACK HIGH, 48.30 , 365.00 ,13.20%,,,,,,,,
048-075,LONE JACK C-6,4020,LONE JACK ELEM., 26.00 , 290.00 ,9.00%,,,,,,,,
048-077,INDEPENDENCE 30,1050,TRUMAN HIGH, 818.20 ," 1,595.67 ",51.30%,,,,,,,,
048-077,INDEPENDENCE 30,1075,WILLIAM CHRISMAN HIGH, 890.80 ," 1,364.68 ",65.30%,,,,,,,,
048-077,INDEPENDENCE 30,1090,VAN HORN HIGH, 746.10 ," 1,013.83 ",73.60%,,,,,,,,
048-077,INDEPENDENCE 30,3000,BINGHAM MIDDLE, 560.40 , 776.36 ,72.20%,,,,,,,,
048-077,INDEPENDENCE 30,3050,BRIDGER MIDDLE, 516.00 , 774.00 ,66.70%,,,,,,,,
048-077,INDEPENDENCE 30,3060,CLIFFORD H. NOWLIN MIDDLE, 702.00 , 864.00 ,81.30%,,,,,,,,
048-077,INDEPENDENCE 30,3070,PIONEER RIDGE MIDDLE, 483.50 , 786.23 ,61.50%,,,,,,,,
048-077,INDEPENDENCE 30,4040,THOMAS HART BENTON ELEM., 315.00 , 375.00 ,84.00%,,,,,,,,
048-077,INDEPENDENCE 30,4060,BLACKBURN ELEM., 160.00 , 347.00 ,46.10%,,,,,,,,
048-077,INDEPENDENCE 30,4080,BRYANT ELEM., 174.00 , 238.00 ,73.10%,,,,,,,,
048-077,INDEPENDENCE 30,4090,CASSELL PARK ELEMENTARY, 297.00 , 352.00 ,84.40%,,,,,,,,
048-077,INDEPENDENCE 30,4100,FAIRMOUNT ELEM., 270.00 , 316.00 ,85.40%,,,,,,,,
048-077,INDEPENDENCE 30,5010,GLENDALE ELEM., 307.00 , 431.00 ,71.20%,,,,,,,,
048-077,INDEPENDENCE 30,5040,JOHN W. LUFF ELEM., 212.00 , 327.00 ,64.80%,,,,,,,,
048-077,INDEPENDENCE 30,5070,MILL CREEK ELEM., 177.00 , 251.00 ,70.50%,,,,,,,,
048-077,INDEPENDENCE 30,5100,KORTE ELEM., 356.00 , 416.00 ,85.60%,,,,,,,,
048-077,INDEPENDENCE 30,6020,OTT ELEM., 288.00 , 376.00 ,76.60%,,,,,,,,
048-077,INDEPENDENCE 30,6030,PROCTER ELEM., 167.00 , 206.00 ,81.10%,,,,,,,,
048-077,INDEPENDENCE 30,6040,RANDALL ELEM., 242.00 , 274.00 ,88.30%,,,,,,,,
048-077,INDEPENDENCE 30,6050,SANTA FE TRAIL ELEM., 229.00 , 303.00 ,75.60%,,,,,,,,
048-077,INDEPENDENCE 30,6060,WILLIAM SOUTHERN ELEM., 270.00 , 388.00 ,69.60%,,,,,,,,
048-077,INDEPENDENCE 30,6070,SPRING BRANCH ELEM., 168.00 , 253.00 ,66.40%,,,,,,,,
048-077,INDEPENDENCE 30,6080,SUGAR CREEK ELEM., 96.00 , 119.00 ,80.70%,,,,,,,,
048-077,INDEPENDENCE 30,6090,SYCAMORE HILLS ELEM., 288.00 , 506.00 ,56.90%,,,,,,,,
048-077,INDEPENDENCE 30,6100,THREE TRAILS ELEM., 246.00 , 324.00 ,75.90%,,,,,,,,
048-077,INDEPENDENCE 30,6120,LITTLE BLUE ELEMENTARY, 135.00 , 275.00 ,49.10%,,,,,,,,
048-077,INDEPENDENCE 30,6130,ABRAHAM MALLINSON ELEMENTARY, 230.00 , 277.00 ,83.00%,,,,,,,,
048-078,KANSAS CITY 33,1200,CENTRAL HIGH SCHOOL, 529.00 , 530.00 ,99.80%,Yes,,,,,,,
048-078,KANSAS CITY 33,1220,LINCOLN COLLEGE PREP., 886.00 , 886.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,1340,NORTHEAST HIGH, 641.00 , 641.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,1400,PASEO ACAD. OF PERFORMING ARTS, 664.00 , 664.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,1580,EAST HIGH SCHOOL," 1,097.00 "," 1,097.00 ",100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,1670,SOUTHEAST HIGH SCHOOL, 461.00 , 461.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,3050,LINCOLN COLLEGE ACADEMY MIDDLE, 565.00 , 565.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,3090,CENTRAL MIDDLE SCHOOL, 438.00 , 438.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,3100,NORTHEAST MIDDLE SCHOOL, 605.00 , 605.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4270,HALE COOK ELEMENTARY, 293.50 , 293.46 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4310,TRAILWOODS ELEMENTARY, 320.00 , 320.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4330,ROGERS ELEMENTARY, 504.50 , 504.50 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4350,FOREIGN LANGUAGE ACADEMY, 609.00 , 609.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4450,FAXON ELEMENTARY, 342.00 , 342.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4460,GARFIELD ELEMENTARY, 438.00 , 438.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4500,GLADSTONE ELEMENTARY, 371.00 , 371.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4580,JOHN T. HARTMAN ELEMENTARY, 291.00 , 291.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4700,JAMES ELEMENTARY, 196.50 , 196.50 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4750,M. L. KING  ELEMENTARY, 447.00 , 447.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,4880,LONGFELLOW ELEMENTARY, 190.00 , 190.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5020,GEORGE MELCHER ELEMENTARY, 287.00 , 287.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5200,WENDELL PHILLIPS ELEMENTARY, 283.00 , 283.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5240,PITCHER ELEMENTARY, 258.00 , 258.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5440,B. BANNEKER ELEMENTARY, 407.00 , 407.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5450,HOLLIDAY MONTESSORI, 183.00 , 183.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5500,CARVER DUAL LANGUAGE SCHOOL, 419.00 , 419.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5580,TROOST ELEMENTARY, 265.00 , 265.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5630,PRIMITIVO GARCIA ELEMENTARY, 250.50 , 250.50 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5660,PHILLIS WHEATLEY ELEMENTARY, 370.50 , 370.50 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5670,AC PREP ELEMENTARY, 325.50 , 325.50 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5700,WHITTIER ELEMENTARY, 347.50 , 347.50 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,5780,BORDER STAR MONTESSORI, 181.00 , 181.00 ,100.00%,Yes,,,,,,,
048-078,KANSAS CITY 33,6030,CONTRACT, 9.00 , 9.00 ,100.00%,,,,,,,,
048-080,CENTER 58,1050,CENTER SR. HIGH, 432.00 , 729.28 ,59.20%,,,,,,,,
048-080,CENTER 58,2100,CENTER MIDDLE, 351.00 , 557.00 ,63.00%,,,,,,,,
048-080,CENTER 58,4020,BOONE ELEM., 123.00 , 275.00 ,44.70%,,,,,,,,
048-080,CENTER 58,4060,CENTER ELEM., 360.00 , 360.00 ,100.00%,Yes,,,,,,,
048-080,CENTER 58,4070,INDIAN CREEK ELEM., 276.00 , 277.00 ,99.60%,Yes,,,,,,,
048-080,CENTER 58,4080,RED BRIDGE ELEM., 112.00 , 233.00 ,48.10%,,,,,,,,
048-901,UNIVERSITY ACADEMY,1915,UNIVERSITY ACADEMY-UPPER, 217.00 , 217.00 ,100.00%,Yes,,,,,,,
048-901,UNIVERSITY ACADEMY,3925,UNIVERSITY ACADEMY-MIDDLE, 261.00 , 261.00 ,100.00%,Yes,,,,,,,
048-901,UNIVERSITY ACADEMY,6965,UNIVERSITY ACADEMY-LOWER, 576.00 , 576.00 ,100.00%,Yes,,,,,,,
048-902,GUADALUPE CENTERS SCHOOLS,1925,GUADALUPE CENTERS HIGH SCHOOL, 414.00 , 430.00 ,96.30%,,,,,,,,
048-902,GUADALUPE CENTERS SCHOOLS,3925,GUADALUPE CENTERS MIDDLE, 323.00 , 336.00 ,96.10%,,,,,,,,
048-902,GUADALUPE CENTERS SCHOOLS,6905,GUADALUPE CENTERS ELEMENTARY, 654.00 , 697.00 ,93.80%,,,,,,,,
048-904,HOGAN PREPARATORY ACADEMY,1935,HOGAN PREPARATORY ACADEMY, 426.00 , 426.00 ,100.00%,Yes,,,,,,,
048-904,HOGAN PREPARATORY ACADEMY,3945,HOGAN PREPARATORY ACAD MIDDLE, 169.00 , 169.00 ,100.00%,Yes,,,,,,,
048-904,HOGAN PREPARATORY ACADEMY,6910,HOGAN PREPARATORY ACADEMY ELEM, 325.00 , 325.00 ,100.00%,Yes,,,,,,,
048-905,GENESIS SCHOOL INC.,1945,GENESIS SCHOOL INC., 211.00 , 211.00 ,100.00%,Yes,,,,,,,
